pay_type,paperless_billing,payment_method,monthly_charges,total_charges,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target,type_serves,lifetime,renewals_count,months_until_payment,monthly_diff_percent,num_options
Month-to-month,No,Electronic check,19.3,59.64,No,No,No,No,No,No,Female,0,No,No,No,0,phone,92,3,0,3.01,0
Two year,No,Bank transfer (automatic),65.7,1445.4,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,1,internet_dsl,668,0,2,0.0,6
Two year,Yes,Credit card (automatic),74.6,5071.31,Yes,Yes,Yes,No,No,Yes,Male,0,No,No,Yes,0,combo_dsl,2010,2,6,3.0,5
Month-to-month,Yes,Electronic check,112.95,1807.2,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_optic,488,16,0,0.0,6
Month-to-month,Yes,Mailed check,88.35,530.1,No,No,Yes,Yes,Yes,No,Male,0,No,No,No,0,combo_optic,184,6,0,0.0,3
Month-to-month,Yes,Bank transfer (automatic),65.15,759.65,Yes,No,No,No,Yes,No,Male,0,Yes,Yes,Yes,0,combo_dsl,337,11,0,6.0,3
Two year,No,Bank transfer (automatic),59.7,4238.7,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0,internet_dsl,2163,2,1,0.0,5
Month-to-month,Yes,Credit card (automatic),34.7,347.0,No,No,No,No,Yes,No,Male,0,No,No,No,0,internet_dsl,306,10,0,0.0,1
Two year,No,Bank transfer (automatic),20.65,1177.05,No,No,No,No,No,No,Male,0,No,No,No,0,phone,1737,2,15,0.0,0
Month-to-month,Yes,Electronic check,100.5,1302.48,No,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,0,combo_optic,365,12,0,8.0,4
One year,Yes,Credit card (automatic),23.75,1605.03,No,No,No,No,No,No,Male,0,Yes,No,Yes,0,phone,1888,5,10,9.01,1
Two year,No,Credit card (automatic),19.9,258.7,No,No,No,No,No,No,Male,0,No,Yes,No,1,phone,393,0,11,0.0,0
One year,No,Bank transfer (automatic),108.1,7134.6,No,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,0,combo_optic,2010,5,6,0.0,5
Month-to-month,Yes,Mailed check,39.0,730.08,No,Yes,No,No,Yes,No,Male,1,No,No,No,0,internet_dsl,549,18,0,4.0,2
Month-to-month,Yes,Credit card (automatic),20.6,329.6,No,No,No,No,No,No,Male,0,No,No,No,0,phone,488,16,0,0.0,0
One year,Yes,Electronic check,19.55,1179.26,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,1767,4,2,3.99,0
Month-to-month,Yes,Electronic check,80.15,339.84,Yes,No,No,No,No,No,Female,0,No,No,Yes,0,combo_optic,123,4,0,6.0,2
Two year,No,Bank transfer (automatic),20.3,1461.6,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,2191,3,0,0.0,0
One year,No,Credit card (automatic),109.9,7363.3,Yes,Yes,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,0,combo_optic,2041,5,5,0.0,6
Two year,No,Electronic check,90.4,3977.6,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,1,combo_dsl,1218,1,8,10.0,7
Two year,No,Bank transfer (automatic),25.4,1938.53,No,No,No,No,No,No,Male,1,No,No,Yes,0,phone,2191,3,0,5.98,1
Month-to-month,No,Electronic check,46.3,694.5,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,combo_dsl,457,15,0,0.0,0
Month-to-month,No,Electronic check,25.2,279.97,No,No,No,No,No,No,Female,0,No,Yes,No,0,internet_dsl,337,11,0,0.99,0
One year,Yes,Bank transfer (automatic),24.45,562.35,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,1,phone,700,1,1,0.0,1
Month-to-month,Yes,Mailed check,55.1,350.44,Yes,No,No,Yes,No,No,Female,0,No,Yes,No,0,combo_dsl,184,6,0,6.01,2
One year,No,Electronic check,78.4,2032.13,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,730,2,0,8.0,5
One year,No,Credit card (automatic),74.0,1184.0,Yes,No,Yes,Yes,Yes,No,Female,0,No,No,Yes,1,combo_dsl,489,1,8,0.0,5
Month-to-month,No,Electronic check,30.15,391.95,No,Yes,No,No,No,No,Female,0,No,Yes,No,0,internet_dsl,396,13,0,0.0,1
Month-to-month,No,Mailed check,70.85,300.4,No,No,No,No,No,No,Male,1,Yes,No,No,0,combo_optic,123,4,0,6.0,0
Two year,Yes,Bank transfer (automatic),77.8,4279.0,No,No,Yes,No,Yes,Yes,Male,0,No,No,Yes,0,combo_dsl,1676,2,17,0.0,4
Two year,Yes,Credit card (automatic),99.0,4158.0,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0,combo_optic,1279,1,6,0.0,4
Month-to-month,No,Mailed check,20.75,43.58,No,No,No,No,No,No,Male,0,No,No,No,0,phone,62,2,0,5.01,0
Month-to-month,Yes,Electronic check,75.5,75.5,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0,combo_dsl,31,1,0,0.0,4
Month-to-month,Yes,Electronic check,81.45,1694.16,No,Yes,No,No,No,No,Male,1,No,No,Yes,1,combo_optic,608,20,0,4.0,2
Month-to-month,Yes,Mailed check,66.7,1167.92,No,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,0,combo_dsl,518,17,0,3.0,4
Month-to-month,Yes,Electronic check,34.7,138.8,No,No,No,No,No,Yes,Female,0,No,No,No,0,internet_dsl,123,4,0,0.0,1
Month-to-month,No,Electronic check,83.85,2263.95,No,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,Yes,0,combo_dsl,822,27,0,0.0,6
Month-to-month,Yes,Electronic check,49.15,1875.56,No,Yes,No,No,Yes,Yes,Male,1,No,No,No,1,internet_dsl,1096,36,0,6.0,3
One year,No,Bank transfer (automatic),96.75,4614.98,Yes,Yes,No,No,No,Yes,Female,0,No,No,Yes,0,combo_optic,1371,3,3,6.01,4
Two year,No,Credit card (automatic),19.1,1356.1,No,No,No,No,No,No,Female,0,Yes,No,No,0,phone,2163,2,1,0.0,0
Two year,Yes,Credit card (automatic),18.55,727.9,No,No,No,No,No,No,Male,0,No,No,No,0,phone,1095,1,0,9.0,0
One year,No,Credit card (automatic),20.1,301.5,No,No,No,No,No,No,Female,0,No,No,No,0,phone,457,1,9,0.0,0
Month-to-month,Yes,Bank transfer (automatic),89.4,1913.16,Yes,No,Yes,No,Yes,No,Female,0,No,No,No,0,combo_optic,610,20,0,7.0,3
Two year,No,Mailed check,19.8,1447.97,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,2163,2,1,2.98,0
One year,No,Bank transfer (automatic),21.05,555.72,No,No,No,No,No,No,Female,0,No,Yes,No,0,phone,730,2,0,10.02,0
Two year,Yes,Electronic check,111.25,5900.7,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,1,combo_optic,1553,2,21,4.0,6
Month-to-month,No,Mailed check,40.65,439.02,No,No,No,Yes,Yes,No,Male,0,Yes,No,No,0,internet_dsl,306,10,0,8.0,2
Two year,No,Credit card (automatic),89.9,6111.4,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,2010,2,6,3.0,7
Two year,No,Credit card (automatic),19.4,554.06,No,No,No,No,No,No,Female,0,No,No,No,1,phone,852,1,20,2.01,0
One year,Yes,Bank transfer (automatic),86.95,4250.12,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,No,0,combo_dsl,1432,3,1,4.0,6
Month-to-month,Yes,Electronic check,75.35,527.45,No,No,No,No,No,No,Female,0,No,No,Yes,0,combo_optic,215,7,0,0.0,1
Month-to-month,Yes,Electronic check,35.55,142.2,No,No,No,No,No,Yes,Male,0,No,No,No,0,internet_dsl,123,4,0,0.0,1
Month-to-month,No,Bank transfer (automatic),44.95,2109.05,No,No,No,No,No,No,Female,0,No,No,No,0,combo_dsl,1401,46,0,2.0,0
Month-to-month,No,Bank transfer (automatic),85.45,4187.05,No,No,No,No,Yes,No,Male,0,No,No,Yes,1,combo_optic,1491,49,0,0.0,2
Two year,No,Bank transfer (automatic),20.0,1151.4,No,No,No,No,No,No,Male,0,No,Yes,No,1,phone,1735,2,15,1.0,0
Two year,No,Bank transfer (automatic),48.4,3625.16,Yes,No,Yes,Yes,No,Yes,Male,0,No,No,No,0,internet_dsl,2132,2,2,7.0,4
Month-to-month,Yes,Bank transfer (automatic),94.65,1514.4,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,No,0,combo_optic,488,16,0,0.0,3
Month-to-month,No,Electronic check,58.95,910.78,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,0,combo_dsl,457,15,0,3.0,3
One year,Yes,Electronic check,100.3,4874.58,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,0,combo_optic,1371,3,3,8.0,4
Two year,No,Bank transfer (automatic),105.6,7603.2,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,0,combo_optic,2191,3,0,0.0,6
Two year,No,Mailed check,19.55,254.15,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,396,0,11,0.0,0
Month-to-month,No,Mailed check,60.9,401.94,No,No,Yes,No,Yes,No,Male,0,No,No,No,0,combo_dsl,184,6,0,10.0,2
One year,No,Bank transfer (automatic),20.05,393.38,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,549,1,6,8.98,0
Two year,Yes,Credit card (automatic),103.75,7266.65,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_optic,2071,2,4,3.0,5
One year,No,Electronic check,113.35,7544.58,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_optic,1949,5,8,4.0,7
One year,Yes,Mailed check,64.4,2454.28,Yes,Yes,No,Yes,No,No,Female,0,No,No,Yes,0,combo_dsl,1126,3,11,3.0,4
Month-to-month,No,Bank transfer (automatic),75.15,390.78,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0,combo_dsl,153,5,0,4.01,4
Month-to-month,No,Electronic check,82.4,1933.1,Yes,No,No,No,No,No,Female,0,Yes,No,Yes,0,combo_optic,702,23,0,2.0,2
Two year,Yes,Credit card (automatic),104.05,6792.38,Yes,Yes,No,Yes,Yes,Yes,Male,0,Yes,No,No,0,combo_optic,1949,2,8,2.0,5
Month-to-month,Yes,Credit card (automatic),85.7,2295.05,No,No,Yes,No,Yes,No,Female,1,Yes,No,No,0,combo_optic,792,26,0,3.0,2
Month-to-month,No,Credit card (automatic),53.85,430.8,Yes,No,No,Yes,No,No,Female,0,No,No,No,0,combo_dsl,245,8,0,0.0,2
Month-to-month,Yes,Mailed check,20.05,40.1,No,No,No,No,No,No,Female,0,No,No,No,0,phone,62,2,0,0.0,0
Month-to-month,Yes,Credit card (automatic),102.25,1738.25,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,0,combo_optic,518,17,0,0.0,4
One year,Yes,Mailed check,69.1,4076.9,Yes,No,No,Yes,No,Yes,Male,0,Yes,No,Yes,0,combo_dsl,1798,4,1,0.0,4
Month-to-month,No,Bank transfer (automatic),65.75,1117.75,Yes,No,No,No,No,Yes,Male,0,No,No,Yes,0,combo_dsl,518,17,0,0.0,3
Month-to-month,Yes,Electronic check,79.55,910.05,No,No,No,No,No,Yes,Female,0,No,No,No,0,combo_optic,337,11,0,4.0,1
Month-to-month,Yes,Credit card (automatic),84.6,1132.79,No,No,Yes,No,No,Yes,Female,1,No,No,No,0,combo_optic,396,13,0,3.0,2
Month-to-month,Yes,Credit card (automatic),85.4,597.8,No,No,No,Yes,No,Yes,Female,0,No,No,No,0,combo_optic,215,7,0,0.0,2
One year,Yes,Bank transfer (automatic),103.95,4469.85,Yes,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1,combo_optic,1310,3,5,0.0,5
Month-to-month,Yes,Electronic check,86.4,4838.4,Yes,Yes,No,No,No,No,Male,0,No,No,Yes,0,combo_optic,1706,56,0,0.0,3
Month-to-month,No,Electronic check,101.15,715.13,No,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,0,combo_optic,215,7,0,1.0,4
Month-to-month,No,Mailed check,19.5,78.0,No,No,No,No,No,No,Female,0,No,No,No,0,phone,123,4,0,0.0,0
Two year,No,Bank transfer (automatic),69.4,4302.8,Yes,Yes,Yes,Yes,No,No,Male,0,No,No,Yes,0,combo_dsl,1888,2,10,0.0,5
Month-to-month,Yes,Electronic check,101.25,1545.08,Yes,No,Yes,No,Yes,Yes,Female,1,Yes,No,No,1,combo_optic,426,14,0,9.0,4
Month-to-month,Yes,Mailed check,45.7,141.21,No,No,No,No,No,No,Male,0,No,No,No,0,combo_dsl,92,3,0,3.0,0
One year,Yes,Electronic check,93.45,5448.14,No,No,No,Yes,Yes,Yes,Female,0,Yes,No,No,0,combo_optic,1614,4,7,10.01,3
Month-to-month,Yes,Electronic check,104.3,5840.8,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,0,combo_optic,1706,56,0,0.0,5
One year,Yes,Bank transfer (automatic),64.9,1507.63,No,No,No,No,Yes,Yes,Male,0,No,No,No,0,combo_dsl,702,1,1,1.0,2
One year,No,Mailed check,19.45,116.7,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,184,0,6,0.0,0
Two year,Yes,Mailed check,44.55,356.4,Yes,No,No,Yes,No,Yes,Male,0,No,Yes,No,0,internet_dsl,245,0,16,0.0,3
Month-to-month,Yes,Electronic check,99.5,1492.5,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0,combo_optic,457,15,0,0.0,4
One year,Yes,Bank transfer (automatic),96.5,1254.5,No,No,No,No,Yes,Yes,Male,0,Yes,No,Yes,1,combo_optic,396,1,11,0.0,3
Month-to-month,No,Electronic check,100.85,3668.92,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,0,combo_optic,1036,34,0,7.0,4
Month-to-month,Yes,Mailed check,105.35,6430.56,Yes,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,0,combo_optic,1706,56,0,9.0,5
One year,No,Mailed check,20.1,462.3,No,No,No,No,No,No,Male,0,No,No,No,1,phone,700,1,1,0.0,0
Two year,No,Bank transfer (automatic),20.2,1393.8,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,2102,2,3,0.0,0
Two year,No,Bank transfer (automatic),115.15,8456.62,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0,combo_optic,2191,3,0,2.0,7
Two year,Yes,Credit card (automatic),113.0,8542.8,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,Yes,0,combo_optic,2132,2,2,8.0,7
Month-to-month,No,Mailed check,29.8,208.6,Yes,No,No,No,No,No,Female,0,No,Yes,No,0,internet_dsl,215,7,0,0.0,1
Two year,Yes,Bank transfer (automatic),80.8,5323.1,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,0,combo_dsl,1857,2,11,8.0,6
Month-to-month,No,Bank transfer (automatic),85.5,4576.81,No,No,No,No,No,Yes,Male,0,Yes,Yes,Yes,1,combo_optic,1614,53,0,0.99,2
Two year,Yes,Mailed check,69.9,4690.29,Yes,No,Yes,No,No,Yes,Male,0,Yes,No,Yes,0,combo_dsl,1857,2,11,10.0,4
Month-to-month,Yes,Electronic check,95.8,1341.2,No,No,No,No,Yes,Yes,Female,1,Yes,Yes,Yes,0,combo_optic,427,14,0,0.0,3
Two year,Yes,Bank transfer (automatic),104.15,7915.4,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0,combo_optic,2314,3,20,0.0,5
Month-to-month,No,Electronic check,83.05,1881.91,No,No,No,No,No,Yes,Male,0,No,No,Yes,0,combo_optic,671,22,0,3.0,2
Month-to-month,No,Electronic check,83.75,633.15,No,Yes,No,No,Yes,No,Female,0,No,No,No,0,combo_optic,215,7,0,8.0,2
Month-to-month,No,Electronic check,89.45,5581.68,No,Yes,No,No,No,Yes,Female,1,Yes,No,Yes,0,combo_optic,1826,60,0,4.0,3
Month-to-month,No,Electronic check,75.25,376.25,No,No,No,No,No,No,Female,0,No,No,Yes,0,combo_optic,153,5,0,0.0,1
Month-to-month,No,Mailed check,19.55,20.53,No,No,No,No,No,No,Male,0,No,Yes,No,0,phone,31,1,0,5.01,0
Month-to-month,No,Mailed check,74.65,639.0,No,No,Yes,No,No,No,Male,0,No,No,No,0,combo_optic,245,8,0,7.01,1
Month-to-month,Yes,Electronic check,29.9,124.38,No,No,Yes,No,No,No,Male,1,Yes,No,No,0,internet_dsl,123,4,0,4.01,1
Month-to-month,Yes,Electronic check,80.5,1098.83,No,No,No,No,No,Yes,Female,0,No,No,No,0,combo_optic,396,13,0,5.01,1
Month-to-month,Yes,Mailed check,50.15,150.45,Yes,No,No,No,No,No,Male,0,No,No,No,0,combo_dsl,92,3,0,0.0,1
Month-to-month,Yes,Bank transfer (automatic),89.6,5644.8,No,No,Yes,No,No,Yes,Female,1,No,No,Yes,0,combo_optic,1918,63,0,0.0,3
One year,Yes,Mailed check,76.35,2776.09,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,No,0,combo_dsl,1095,3,0,1.0,5
One year,Yes,Credit card (automatic),100.05,5402.7,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,0,combo_optic,1645,4,6,0.0,4
Two year,No,Credit card (automatic),20.25,980.3,No,No,No,No,No,No,Female,0,No,No,No,0,phone,1432,1,1,3.01,0
Two year,No,Credit card (automatic),20.65,914.38,No,No,No,No,No,No,Female,0,Yes,No,No,0,phone,1248,1,7,7.99,0
Month-to-month,No,Mailed check,53.45,750.44,No,No,Yes,Yes,No,No,Female,0,No,Yes,No,0,combo_dsl,396,13,0,8.01,2
Month-to-month,Yes,Electronic check,100.25,3709.25,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1,combo_optic,1126,37,0,0.0,4
Month-to-month,Yes,Bank transfer (automatic),80.7,968.4,No,Yes,No,No,No,No,Male,0,No,No,Yes,0,combo_optic,365,12,0,0.0,2
Two year,No,Bank transfer (automatic),80.8,2545.2,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0,combo_dsl,914,1,18,5.0,5
Month-to-month,Yes,Bank transfer (automatic),92.95,4153.94,No,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,1,combo_optic,1248,41,0,9.0,3
Two year,Yes,Credit card (automatic),85.3,4129.37,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,1432,1,1,3.0,6
Month-to-month,Yes,Electronic check,98.7,4540.2,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,1,combo_optic,1399,46,0,0.0,4
One year,No,Mailed check,30.1,1565.2,No,Yes,No,No,No,No,Male,0,No,No,No,0,internet_dsl,1584,4,8,0.0,1
Month-to-month,Yes,Mailed check,80.3,843.15,No,No,No,No,Yes,No,Female,0,No,No,No,0,combo_optic,306,10,0,5.01,1
Month-to-month,Yes,Electronic check,73.65,1766.13,No,Yes,No,No,No,No,Male,1,Yes,No,No,0,combo_optic,671,22,0,9.0,1
Month-to-month,No,Mailed check,98.15,1531.14,Yes,No,No,No,Yes,Yes,Male,0,No,No,Yes,1,combo_optic,456,15,0,4.0,4
Month-to-month,No,Mailed check,35.5,426.0,No,Yes,No,Yes,No,No,Male,0,Yes,Yes,No,0,internet_dsl,365,12,0,0.0,2
One year,Yes,Credit card (automatic),94.1,5437.1,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,0,combo_optic,1645,4,6,7.0,3
One year,No,Electronic check,19.65,255.45,No,No,No,No,No,No,Female,0,No,No,No,0,phone,396,1,11,0.0,0
Month-to-month,Yes,Mailed check,69.9,489.3,No,No,No,No,No,No,Female,0,No,No,No,0,combo_optic,215,7,0,0.0,0
One year,Yes,Electronic check,99.0,4158.0,Yes,Yes,Yes,No,No,Yes,Male,0,No,No,Yes,0,combo_optic,1279,3,6,0.0,5
Two year,Yes,Bank transfer (automatic),104.1,7443.15,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0,combo_optic,1979,2,7,10.0,5
One year,Yes,Credit card (automatic),109.2,5350.8,Yes,Yes,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,0,combo_optic,1492,4,11,0.0,6
Two year,No,Bank transfer (automatic),20.3,1258.6,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,1888,2,10,0.0,0
Month-to-month,Yes,Electronic check,96.2,3336.22,No,No,No,Yes,Yes,Yes,Male,0,No,No,No,0,combo_optic,1036,34,0,2.0,3
One year,Yes,Mailed check,20.0,228.8,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,337,0,1,4.0,0
Month-to-month,Yes,Mailed check,70.8,297.36,No,No,No,No,No,No,Female,0,No,No,No,0,combo_optic,123,4,0,5.0,0
One year,No,Credit card (automatic),19.8,769.23,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,1126,3,11,5.0,0
Month-to-month,Yes,Electronic check,89.55,492.53,No,No,No,No,Yes,Yes,Male,0,No,No,No,0,combo_optic,153,5,0,10.01,2
Month-to-month,No,Mailed check,19.65,19.65,No,No,No,No,No,No,Female,0,No,No,No,0,phone,31,1,0,0.0,0
Two year,No,Bank transfer (automatic),24.25,1673.25,No,No,No,No,No,No,Female,0,Yes,No,Yes,0,phone,2102,2,3,0.0,1
Two year,Yes,Credit card (automatic),70.65,1271.7,Yes,Yes,Yes,No,Yes,No,Female,0,Yes,Yes,No,1,combo_dsl,546,0,6,0.0,4
One year,Yes,Credit card (automatic),90.1,2530.01,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0,combo_dsl,792,2,10,8.0,7
Month-to-month,No,Mailed check,29.2,87.6,No,Yes,No,No,No,No,Female,0,No,No,No,0,internet_dsl,92,3,0,0.0,1
Two year,Yes,Bank transfer (automatic),39.0,2418.0,No,No,No,Yes,Yes,No,Male,0,Yes,No,No,0,internet_dsl,1888,2,10,0.0,2
Month-to-month,Yes,Credit card (automatic),99.45,2171.99,No,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,1,combo_optic,640,21,0,4.0,4
One year,No,Mailed check,50.35,1309.1,No,No,Yes,No,No,No,Male,0,Yes,Yes,No,0,combo_dsl,792,2,10,0.0,1
Month-to-month,Yes,Electronic check,50.85,2034.0,No,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,No,0,internet_dsl,1218,40,0,0.0,3
One year,Yes,Mailed check,51.45,1697.85,No,No,No,Yes,No,No,Female,0,Yes,No,No,0,combo_dsl,1006,2,3,0.0,1
Two year,No,Bank transfer (automatic),80.85,5821.2,Yes,Yes,Yes,Yes,No,Yes,Female,0,Yes,Yes,Yes,0,combo_dsl,2191,3,0,0.0,6
Month-to-month,Yes,Electronic check,54.2,162.6,No,No,No,No,Yes,No,Female,0,No,No,No,0,combo_dsl,92,3,0,0.0,1
Month-to-month,No,Electronic check,49.4,988.0,Yes,No,No,No,No,No,Male,0,No,No,No,0,combo_dsl,610,20,0,0.0,1
One year,Yes,Bank transfer (automatic),60.65,4454.14,No,Yes,Yes,Yes,No,No,Female,1,Yes,No,No,0,combo_dsl,2071,5,4,8.0,3
Month-to-month,No,Mailed check,48.8,927.2,No,No,No,Yes,No,No,Female,0,No,Yes,No,0,combo_dsl,580,19,0,0.0,1
Month-to-month,Yes,Mailed check,45.75,336.26,No,No,No,No,No,No,Male,1,No,Yes,No,0,combo_dsl,215,7,0,5.01,0
Month-to-month,Yes,Mailed check,20.1,86.83,No,No,No,No,No,No,Male,0,No,No,No,0,phone,123,4,0,8.01,0
One year,No,Credit card (automatic),94.8,5308.8,Yes,No,No,No,Yes,Yes,Male,1,No,Yes,No,0,combo_optic,1706,4,4,0.0,3
Month-to-month,No,Bank transfer (automatic),20.0,216.0,No,No,No,No,No,No,Female,0,No,No,No,0,phone,306,10,0,8.0,0
Month-to-month,No,Bank transfer (automatic),96.5,579.0,No,No,Yes,No,Yes,Yes,Male,0,No,No,No,0,combo_optic,184,6,0,0.0,3
Month-to-month,Yes,Electronic check,100.8,6652.8,No,Yes,No,No,Yes,Yes,Female,1,Yes,No,Yes,0,combo_optic,2010,66,0,0.0,4
One year,No,Mailed check,19.45,138.87,No,No,No,No,No,No,Male,0,No,Yes,No,0,phone,215,0,5,2.01,0
Month-to-month,No,Mailed check,19.05,19.05,No,No,No,No,No,No,Male,0,No,No,No,0,phone,31,1,0,0.0,0
Month-to-month,Yes,Electronic check,69.7,607.78,No,No,No,No,No,No,Male,1,No,No,No,0,combo_optic,245,8,0,9.0,0
One year,Yes,Credit card (automatic),106.05,6706.6,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0,combo_optic,1888,5,10,2.0,5
Month-to-month,No,Electronic check,90.55,5070.8,No,Yes,Yes,Yes,No,No,Female,0,Yes,No,Yes,0,combo_optic,1706,56,0,0.0,4
One year,Yes,Mailed check,24.85,1090.17,No,No,No,No,No,No,Female,0,No,No,Yes,0,phone,1248,3,7,7.0,1
Two year,Yes,Bank transfer (automatic),74.35,4492.23,Yes,No,Yes,No,Yes,Yes,Male,0,No,No,No,0,combo_dsl,1737,2,15,6.0,4
Month-to-month,Yes,Electronic check,24.8,99.2,No,No,No,No,No,No,Female,0,Yes,No,No,0,internet_dsl,123,4,0,0.0,0
One year,Yes,Mailed check,89.1,3385.8,No,No,No,No,Yes,Yes,Female,0,No,No,No,0,combo_optic,1157,3,10,0.0,2
Month-to-month,Yes,Electronic check,74.95,926.38,No,No,No,No,No,No,Male,0,Yes,No,Yes,0,combo_optic,365,12,0,3.0,1
Month-to-month,Yes,Credit card (automatic),69.05,1104.8,No,No,No,No,No,No,Female,0,No,No,No,1,combo_optic,486,16,0,0.0,0
Two year,Yes,Bank transfer (automatic),80.45,5792.4,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0,combo_dsl,2191,3,0,0.0,5
Month-to-month,Yes,Electronic check,101.5,3349.5,No,No,No,Yes,Yes,Yes,Male,1,Yes,No,Yes,0,combo_optic,914,30,0,10.0,4
Month-to-month,No,Mailed check,19.55,102.64,No,No,No,No,No,No,Male,0,No,No,No,0,phone,153,5,0,5.01,0
Month-to-month,Yes,Electronic check,70.85,283.4,No,No,No,No,No,No,Female,0,No,No,No,0,combo_optic,123,4,0,0.0,0
One year,Yes,Electronic check,78.45,3451.8,Yes,Yes,Yes,Yes,No,Yes,Female,0,Yes,Yes,Yes,1,combo_dsl,1341,3,4,0.0,6
Month-to-month,Yes,Electronic check,103.5,7042.14,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,Yes,0,combo_optic,1918,63,0,8.0,5
Month-to-month,Yes,Credit card (automatic),79.05,5217.3,Yes,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,No,0,combo_dsl,1826,60,0,10.01,5
Month-to-month,No,Mailed check,20.6,418.8,No,No,No,No,No,No,Male,0,Yes,Yes,No,0,phone,580,19,0,6.99,0
One year,No,Bank transfer (automatic),19.8,316.8,No,No,No,No,No,No,Female,0,Yes,Yes,No,0,phone,488,1,8,0.0,0
Month-to-month,No,Bank transfer (automatic),70.25,1531.45,No,No,No,No,No,No,Female,0,No,No,No,1,combo_optic,608,20,0,9.0,0
One year,Yes,Credit card (automatic),54.75,1423.5,No,Yes,No,Yes,No,No,Female,0,No,Yes,No,0,combo_dsl,761,2,11,4.0,2
Two year,Yes,Credit card (automatic),113.15,8194.32,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0,combo_optic,2163,2,1,2.0,7
